t_abs_res,viol_res,abs_idx_res,t_abs_vit,viol_vit,abs_idx_vit
1.0,3,7,1.0,7,11
1.0,1,7,1.0,10,11
0.14285714285714285,1,1,0.6363636363636364,1,7
1.0,2,7,0.8181818181818182,5,9
0.0,0,0,1.0,9,11
1.0,1,7,1.0,11,11
1.0,1,7,1.0,9,11
0.0,0,0,1.0,8,11
0.0,0,0,0.8181818181818182,7,9
1.0,1,7,0.8181818181818182,5,9
0.0,0,0,1.0,9,11
0.0,0,0,1.0,10,11
0.0,0,0,1.0,4,11
1.0,2,7,1.0,9,11
0.0,0,0,0.0,0,0
0.0,0,0,0.6363636363636364,1,7
1.0,1,7,1.0,9,11
1.0,1,7,1.0,11,11
0.14285714285714285,1,1,1.0,11,11
1.0,2,7,0.9090909090909091,4,10
0.8571428571428571,2,6,1.0,11,11
1.0,1,7,1.0,7,11
0.0,0,0,1.0,4,11
1.0,1,7,1.0,10,11
1.0,1,7,1.0,11,11
0.0,0,0,1.0,10,11
0.7142857142857143,1,5,1.0,3,11
0.0,0,0,0.6363636363636364,5,7
0.7142857142857143,1,5,1.0,11,11
1.0,2,7,0.7272727272727273,4,8
0.0,0,0,0.9090909090909091,9,10
1.0,2,7,1.0,4,11
0.0,0,0,0.8181818181818182,4,9
1.0,2,7,1.0,11,11
0.7142857142857143,1,5,1.0,6,11
1.0,2,7,0.9090909090909091,3,10
1.0,1,7,0.8181818181818182,4,9
1.0,1,7,0.9090909090909091,3,10
0.0,0,0,1.0,10,11
1.1428571428571428,1,8,1.0,11,11
1.0,2,7,1.0,6,11
0.7142857142857143,1,5,0.9090909090909091,4,10
0.7142857142857143,1,5,0.9090909090909091,3,10
0.7142857142857143,1,5,0.8181818181818182,4,9
0.0,0,0,0.9090909090909091,4,10
1.0,1,7,1.0,8,11
0.0,0,0,0.8181818181818182,3,9
1.0,1,7,1.0,10,11
0.0,0,0,1.0,10,11
0.0,0,0,0.9090909090909091,5,10
0.0,0,0,1.0,2,11
0.7142857142857143,1,5,1.0,9,11
1.0,2,7,1.0,3,11
0.0,0,0,1.0,7,11
1.0,1,7,1.0,6,11
0.0,0,0,1.0,5,11
1.0,2,7,1.0,8,11
0.0,0,0,1.0,5,11
1.0,1,7,0.6363636363636364,2,7
1.0,2,7,0.9090909090909091,5,10
0.0,0,0,0.0,0,0
0.8571428571428571,3,6,0.7272727272727273,8,8
0.0,0,0,0.18181818181818182,1,2
0.0,0,0,0.0,0,0
1.0,3,7,0.6363636363636364,2,7
0.0,0,0,0.0,0,0
1.0,2,7,0.9090909090909091,6,10
0.0,0,0,1.0,11,11
0.7142857142857143,1,5,1.0,10,11
0.0,0,0,1.0,11,11
0.7142857142857143,2,5,1.0,10,11
0.0,0,0,0.8181818181818182,8,9
0.7142857142857143,1,5,0.9090909090909091,5,10
0.0,0,0,1.0,7,11
0.0,0,0,1.0,9,11
1.0,4,7,0.9090909090909091,6,10
0.0,0,0,1.0,10,11
0.0,0,0,0.9090909090909091,9,10
0.7142857142857143,2,5,1.0,9,11
1.0,1,7,0.9090909090909091,4,10
1.0,1,7,0.9090909090909091,9,10
1.0,2,7,0.9090909090909091,7,10
0.7142857142857143,1,5,0.0,0,0
0.7142857142857143,1,5,1.0,8,11
1.0,3,7,1.0,5,11
0.0,0,0,1.0,2,11
0.0,0,0,0.9090909090909091,2,10
0.0,0,0,0.36363636363636365,1,4
0.0,0,0,1.0,6,11
1.0,1,7,1.0,11,11
1.0,2,7,0.6363636363636364,3,7
1.0,2,7,1.0,8,11
0.7142857142857143,2,5,0.9090909090909091,1,10
1.0,2,7,1.0,10,11
0.7142857142857143,1,5,0.8181818181818182,9,9
1.0,1,7,0.5454545454545454,3,6
0.0,0,0,0.9090909090909091,6,10
1.0,4,7,1.0,9,11
0.0,0,0,1.0,10,11
1.0,1,7,1.0,7,11
1.0,2,7,1.0,11,11
0.0,0,0,1.0,3,11
1.0,1,7,1.0,10,11
0.2857142857142857,1,2,0.9090909090909091,4,10
1.0,2,7,1.0,11,11
1.0,2,7,1.0,11,11
0.0,0,0,0.9090909090909091,6,10
0.7142857142857143,1,5,0.36363636363636365,1,4
1.0,2,7,0.0,0,0
1.0,1,7,0.18181818181818182,1,2
0.0,0,0,1.0,8,11
0.0,0,0,1.0,11,11
1.0,3,7,0.0,0,0
0.0,0,0,1.0,11,11
0.14285714285714285,1,1,0.8181818181818182,9,9
0.0,0,0,1.0,10,11
0.0,0,0,1.0,11,11
1.0,2,7,1.0,8,11
0.0,0,0,0.9090909090909091,10,10
1.0,1,7,0.7272727272727273,5,8
0.7142857142857143,1,5,1.0,11,11
1.0,2,7,0.5454545454545454,3,6
0.7142857142857143,1,5,1.0,10,11
0.0,0,0,0.8181818181818182,9,9
0.7142857142857143,1,5,1.0,8,11
1.0,2,7,1.0,4,11
1.0,1,7,0.8181818181818182,1,9
0.0,0,0,0.8181818181818182,3,9
1.0,2,7,1.0,4,11
1.0,1,7,1.0,8,11
0.7142857142857143,2,5,0.7272727272727273,7,8
0.0,0,0,1.0,11,11
1.0,2,7,0.9090909090909091,10,10
1.0,1,7,1.0,8,11
0.0,0,0,1.0,5,11
0.0,0,0,0.5454545454545454,3,6
1.0,2,7,0.5454545454545454,2,6
0.0,0,0,0.7272727272727273,3,8
0.0,0,0,0.0,0,0
1.0,3,7,0.45454545454545453,1,5
0.0,0,0,0.9090909090909091,7,10
0.0,0,0,0.0,0,0
0.0,0,0,1.0,11,11
1.0,1,7,0.9090909090909091,7,10
1.0,4,7,1.0,10,11
1.0,3,7,1.0,7,11
0.0,0,0,1.0,11,11
1.0,3,7,0.9090909090909091,5,10
1.1428571428571428,1,8,0.9090909090909091,10,10
0.0,0,0,1.0,8,11
1.0,3,7,1.0,6,11
1.0,1,7,0.18181818181818182,1,2
1.0,2,7,0.36363636363636365,1,4
0.0,0,0,1.0,11,11
0.7142857142857143,1,5,1.0,11,11
0.0,0,0,0.0,0,0
1.0,1,7,0.9090909090909091,1,10
1.0,2,7,1.0,11,11
0.0,0,0,0.7272727272727273,4,8
0.14285714285714285,1,1,1.0,11,11
0.0,0,0,1.0,6,11
1.0,3,7,0.9090909090909091,9,10
1.0,5,7,1.0,11,11
0.0,0,0,1.0,7,11
0.0,0,0,1.0,7,11
0.0,0,0,1.0,10,11
0.7142857142857143,1,5,1.0,11,11
0.0,0,0,0.6363636363636364,1,7
1.0,2,7,0.8181818181818182,6,9
0.0,0,0,0.8181818181818182,4,9
0.0,0,0,0.7272727272727273,2,8
1.0,3,7,0.8181818181818182,3,9
1.0,4,7,1.0,11,11
0.0,0,0,0.8181818181818182,4,9
0.7142857142857143,1,5,0.9090909090909091,6,10
0.0,0,0,1.0,10,11
0.8571428571428571,1,6,1.0,8,11
0.0,0,0,1.0,11,11
1.0,1,7,0.8181818181818182,5,9
0.0,0,0,0.9090909090909091,7,10
0.8571428571428571,1,6,1.0,6,11
0.7142857142857143,1,5,1.0,10,11
0.0,0,0,0.7272727272727273,3,8
0.14285714285714285,1,1,0.9090909090909091,8,10
1.0,3,7,0.9090909090909091,2,10
0.7142857142857143,2,5,1.0,5,11
1.0,1,7,0.18181818181818182,1,2
0.0,0,0,1.0,11,11
0.7142857142857143,1,5,0.8181818181818182,2,9
1.0,3,7,0.18181818181818182,1,2
0.7142857142857143,1,5,1.0,10,11
0.0,0,0,1.0,11,11
0.0,0,0,0.7272727272727273,3,8
0.7142857142857143,1,5,1.0,10,11
0.7142857142857143,1,5,1.0,8,11
0.0,0,0,1.0,3,11
1.0,1,7,1.0,10,11
1.0,3,7,0.36363636363636365,1,4
0.0,0,0,1.0,8,11
1.0,2,7,0.0,0,0
0.14285714285714285,1,1,1.0,6,11
0.0,0,0,0.8181818181818182,5,9
1.0,3,7,1.0,8,11
1.0,2,7,0.2727272727272727,2,3
1.1428571428571428,1,8,1.0,11,11
0.0,0,0,0.0,0,0
0.0,0,0,0.0,0,0
0.0,0,0,0.0,0,0
0.0,0,0,1.0,11,11
1.0,4,7,1.0,4,11
1.0,1,7,1.0,7,11
0.0,0,0,0.0,0,0
0.7142857142857143,1,5,1.0,5,11
0.0,0,0,1.0,10,11
1.0,1,7,1.0,11,11
1.0,1,7,1.0,8,11
1.0,1,7,0.9090909090909091,10,10
0.0,0,0,1.0,11,11
1.0,2,7,0.8181818181818182,5,9
1.0,3,7,0.9090909090909091,10,10
0.7142857142857143,1,5,1.0,9,11
0.7142857142857143,2,5,0.9090909090909091,3,10
1.0,1,7,0.9090909090909091,7,10
0.14285714285714285,1,1,0.8181818181818182,7,9
1.0,1,7,1.0,11,11
0.0,0,0,0.7272727272727273,7,8
0.0,0,0,1.0,11,11
0.7142857142857143,1,5,1.0,9,11
1.0,2,7,0.7272727272727273,1,8
0.7142857142857143,1,5,1.0,6,11
1.0,3,7,0.9090909090909091,4,10
0.0,0,0,1.0,11,11
0.7142857142857143,2,5,0.5454545454545454,1,6
0.0,0,0,0.9090909090909091,5,10
1.0,5,7,1.0,10,11
0.0,0,0,0.0,0,0
1.1428571428571428,1,8,1.0,2,11
1.0,5,7,1.0,9,11
1.0,1,7,0.7272727272727273,2,8
1.0,4,7,1.0,1,11
0.0,0,0,0.7272727272727273,1,8
0.7142857142857143,2,5,1.0,5,11
0.0,0,0,0.9090909090909091,5,10
1.0,1,7,1.0,11,11
0.0,0,0,0.8181818181818182,6,9
0.0,0,0,1.0,11,11
0.0,0,0,0.0,0,0
0.0,0,0,1.0,10,11
0.0,0,0,0.6363636363636364,5,7
1.0,2,7,0.8181818181818182,6,9
0.14285714285714285,1,1,0.9090909090909091,4,10
0.0,0,0,1.0,11,11
0.14285714285714285,1,1,1.0,10,11
0.0,0,0,1.0,10,11
1.0,2,7,1.0,10,11
0.14285714285714285,1,1,1.0,10,11
0.0,0,0,1.0,10,11
0.0,0,0,0.0,0,0
0.7142857142857143,2,5,0.9090909090909091,6,10
1.0,3,7,1.0,11,11
0.0,0,0,1.0,11,11
1.0,2,7,1.0,10,11
0.0,0,0,1.0,2,11
1.0,1,7,0.9090909090909091,1,10
1.0,2,7,1.0,10,11
0.7142857142857143,1,5,1.0,11,11
0.7142857142857143,1,5,1.0,6,11
0.0,0,0,0.7272727272727273,2,8
1.0,2,7,1.0,4,11
1.0,1,7,1.0,3,11
1.0,2,7,0.8181818181818182,3,9
1.0,1,7,1.0,7,11
0.7142857142857143,2,5,1.0,6,11
0.0,0,0,1.0,11,11
1.0,1,7,0.8181818181818182,9,9
1.0,1,7,1.0,4,11
0.14285714285714285,1,1,0.0,0,0
0.0,0,0,0.8181818181818182,7,9
0.0,0,0,1.0,11,11
1.0,2,7,1.0,6,11
1.0,2,7,0.9090909090909091,9,10
1.0,2,7,1.0,9,11
0.0,0,0,1.0,11,11
0.0,0,0,1.0,11,11
0.0,0,0,1.0,3,11
1.1428571428571428,1,8,0.9090909090909091,2,10
0.0,0,0,0.9090909090909091,5,10
0.0,0,0,1.0,2,11
1.0,2,7,0.2727272727272727,2,3
0.0,0,0,1.0,6,11
1.0,3,7,1.0,11,11
0.0,0,0,0.45454545454545453,3,5
0.0,0,0,1.0,11,11
0.0,0,0,0.0,0,0
1.0,4,7,1.0,11,11
1.0,1,7,0.0,0,0
1.0,2,7,1.0,8,11
1.0,1,7,1.0,10,11
1.0,2,7,1.0,8,11
0.7142857142857143,1,5,1.0,11,11
1.0,2,7,1.0,4,11
0.0,0,0,0.45454545454545453,3,5
0.0,0,0,1.0,11,11
0.2857142857142857,1,2,1.0,10,11
0.7142857142857143,1,5,1.0,9,11
1.0,2,7,1.0,11,11
0.7142857142857143,1,5,0.45454545454545453,2,5
1.0,1,7,1.0,3,11
0.0,0,0,1.0,6,11
1.0,1,7,1.0,6,11
1.0,1,7,0.9090909090909091,2,10
1.0,2,7,1.0,10,11
1.0,3,7,1.0,7,11
0.0,0,0,1.0,11,11
0.0,0,0,0.8181818181818182,4,9
1.0,3,7,0.9090909090909091,6,10
1.0,4,7,1.0,4,11
1.0,1,7,1.0,6,11
0.0,0,0,1.0,8,11
0.0,0,0,0.8181818181818182,3,9
0.0,0,0,1.0,11,11
0.0,0,0,0.8181818181818182,3,9
1.1428571428571428,1,8,1.0,11,11
0.7142857142857143,1,5,0.8181818181818182,5,9
0.0,0,0,0.7272727272727273,3,8
0.7142857142857143,1,5,1.0,11,11
1.0,4,7,1.0,7,11
0.7142857142857143,1,5,0.9090909090909091,4,10
0.0,0,0,0.9090909090909091,7,10
0.0,0,0,1.0,11,11
0.0,0,0,1.0,11,11
0.0,0,0,1.0,5,11
1.0,1,7,0.9090909090909091,8,10
0.0,0,0,1.0,10,11
1.0,1,7,1.0,11,11
0.7142857142857143,3,5,1.0,8,11
1.0,2,7,1.0,7,11
1.0,4,7,1.0,10,11
0.0,0,0,1.0,11,11
0.7142857142857143,2,5,0.9090909090909091,1,10
1.0,1,7,1.0,6,11
1.1428571428571428,1,8,1.0,11,11
1.0,3,7,1.0,9,11
1.0,2,7,1.0,4,11
0.0,0,0,1.0,11,11
1.0,1,7,1.0,11,11
0.0,0,0,1.0,9,11
1.1428571428571428,1,8,0.9090909090909091,7,10
0.0,0,0,0.6363636363636364,2,7
0.0,0,0,1.0,11,11
0.42857142857142855,1,3,1.0,10,11
0.14285714285714285,1,1,0.45454545454545453,2,5
1.0,3,7,1.0,11,11
